,window,car,t_stat,n_days,alpha,beta,sigma_e,placebo_p_m5_p5,placebo_benchmark_window,asset,event,event_date
0,"[-1,+1]",-0.08217176111218018,-2.3050322228938502,3,0.0015971539577141441,0.383089878819464,0.02058187643830071,0.6130653266331658,"[-5,+5]",btc,BTC spot ETF launch (2024-01-11),2024-01-11
1,"[-5,+5]",-0.046910139452477136,-0.6872035823869972,11,0.0015971539577141441,0.383089878819464,0.02058187643830071,0.6130653266331658,"[-5,+5]",btc,BTC spot ETF launch (2024-01-11),2024-01-11
2,"[+0,+5]",-0.08674170437701453,-1.720550243802828,6,0.0015971539577141441,0.383089878819464,0.02058187643830071,0.6130653266331658,"[-5,+5]",btc,BTC spot ETF launch (2024-01-11),2024-01-11
3,"[+0,+30]",-0.04525546423042964,-0.3949164375675021,31,0.0015971539577141441,0.383089878819464,0.02058187643830071,0.6130653266331658,"[-5,+5]",btc,BTC spot ETF launch (2024-01-11),2024-01-11
4,"[-1,+1]",-0.042815741351594994,-0.8274072814509426,3,1.424224514198053e-05,1.0909311018857486,0.02987607233954758,0.9246231155778895,"[-5,+5]",eth,ETH spot ETF launch (2024-07-23),2024-07-23
5,"[-5,+5]",-0.01064598341814254,-0.10743998535937876,11,1.424224514198053e-05,1.0909311018857486,0.02987607233954758,0.9246231155778895,"[-5,+5]",eth,ETH spot ETF launch (2024-07-23),2024-07-23
6,"[+0,+5]",-0.030492293924743473,-0.41666878850805017,6,1.424224514198053e-05,1.0909311018857486,0.02987607233954758,0.9246231155778895,"[-5,+5]",eth,ETH spot ETF launch (2024-07-23),2024-07-23
7,"[+0,+30]",-0.2931979585671102,-1.7626114739444059,31,1.424224514198053e-05,1.0909311018857486,0.02987607233954758,0.9246231155778895,"[-5,+5]",eth,ETH spot ETF launch (2024-07-23),2024-07-23
8,"[-1,+1]",0.044523799265754435,0.9302823862073017,3,-0.0024565461630258857,1.2820023858657412,0.027632284425193842,0.6683417085427136,"[-5,+5]",btc,Fed pivot signal (2022-11-02 FOMC),2022-11-02
9,"[-5,+5]",0.041525804434834696,0.4531113293841407,11,-0.0024565461630258857,1.2820023858657412,0.027632284425193842,0.6683417085427136,"[-5,+5]",btc,Fed pivot signal (2022-11-02 FOMC),2022-11-02
10,"[+0,+5]",0.03551460202594259,0.5247041952990392,6,-0.0024565461630258857,1.2820023858657412,0.027632284425193842,0.6683417085427136,"[-5,+5]",btc,Fed pivot signal (2022-11-02 FOMC),2022-11-02
11,"[+0,+30]",-0.06415698960748005,-0.41700987577682985,31,-0.0024565461630258857,1.2820023858657412,0.027632284425193842,0.6683417085427136,"[-5,+5]",btc,Fed pivot signal (2022-11-02 FOMC),2022-11-02
12,"[-1,+1]",-0.17648611898043431,-3.6698596736946074,3,-0.0023131191704266717,1.271962180625211,0.027765178334190815,0.11055276381909548,"[-5,+5]",btc,FTX collapse (2022-11-08),2022-11-08
13,"[-5,+5]",-0.15613979051196591,-1.6955741329195828,11,-0.0023131191704266717,1.271962180625211,0.027765178334190815,0.11055276381909548,"[-5,+5]",btc,FTX collapse (2022-11-08),2022-11-08
14,"[+0,+5]",-0.17150505035974078,-2.5217429822542314,6,-0.0023131191704266717,1.271962180625211,0.027765178334190815,0.11055276381909548,"[-5,+5]",btc,FTX collapse (2022-11-08),2022-11-08
15,"[+0,+30]",-0.047803107304492845,-0.30922515324416655,31,-0.0023131191704266717,1.271962180625211,0.027765178334190815,0.11055276381909548,"[-5,+5]",btc,FTX collapse (2022-11-08),2022-11-08
16,"[-1,+1]",-0.03109871145557823,-0.8121185501845214,3,0.0014506818915206105,1.1886646285248725,0.022108655720583,0.21105527638190955,"[-5,+5]",btc,Silicon Valley Bank failure (2023-03-10),2023-03-10
17,"[-5,+5]",0.10508484707313466,1.4331162390064118,11,0.0014506818915206105,1.1886646285248725,0.022108655720583,0.21105527638190955,"[-5,+5]",btc,Silicon Valley Bank failure (2023-03-10),2023-03-10
18,"[+0,+5]",0.16787998992449663,3.0999948507027093,6,0.0014506818915206105,1.1886646285248725,0.022108655720583,0.21105527638190955,"[-5,+5]",btc,Silicon Valley Bank failure (2023-03-10),2023-03-10
19,"[+0,+30]",0.22883855735970166,1.8590283701281887,31,0.0014506818915206105,1.1886646285248725,0.022108655720583,0.21105527638190955,"[-5,+5]",btc,Silicon Valley Bank failure (2023-03-10),2023-03-10
