claim_id,module,claim_text,outcome,exposure_or_state,sample,frequency,method,source_tables,source_figures,estimate_summary,uncertainty_summary,robustness_checks,mechanical_link_risk,endogeneity_risk,valuation_contamination_risk,multiple_testing_status,evidence_grade,approved_public_language,prohibited_language,limitations,status
mvrv_mechanics_01,mvrv_mechanics,Same-day MVRV changes strongly overlap with BTC returns and are treated as measurement mechanics.,BTC return,d_log_mvrv,2020-01-01 to 2026-04-11 daily,daily,same-interval identity audit and HAC same-day diagnostic,mvrv_mechanical_link_audit.csv,01_mvrv_mechanics.png,"corr(BTC return, d-log MVRV)=0.9966; R2=0.9932; median abs residual / median abs BTC return=1.14e-07",Diagnostic only; same-day MVRV is excluded from primary exposure models.,"Identity residual scale, residual quantiles, and lagged state summaries.",direct_target_component,high,high,not_applicable_single_diagnostic,B,mechanically price-linked valuation-state measure,strongest independent factor; predictive driver,Source conventions and realized-cap updates affect residual.,accepted_qualified
tradfi_exposure_01,tradfi_exposure_evolution,Contemporaneous TradFi exposure is evaluated on synchronized business-date and Friday panels.,BTC/ETH returns,"equity, volatility, dollar, rate, and gold exposures",effective sample reported per row,daily; weekly,same-support HAC OLS drop-block delta R-squared,block_delta_r2.csv; rolling_tradfi_exposures.csv,02_factor_strength_by_regime.png; 03_tradfi_integration_over_time.png,"BTC equity block pre-BTC-ETF delta R2=0.0249 (n=797) vs BTC-ETF-era delta R2=0.0884 (n=436); ETH equity block pre-BTC-ETF delta R2=0.0193 (n=797) vs BTC-ETF-era delta R2=0.1076 (n=436); period comparison, not ETF effect",HAC/FDR diagnostics; rolling windows overlap.,"Business-date daily returns, Friday weekly returns, VIF, ridge, FDR, and local-window correlation distributions.",low,medium,low,FDR applied within model family.,B,period comparison of exposure strength,ETF effect; forecast; caused,Period splits are descriptive and not causal ETF identification.,accepted_qualified
lagged_state_01,lagged_state_associations,"Crypto-native liquidity, sentiment, funding, and scaled OI are reported as lagged-state associations.",BTC/ETH returns,"stablecoin supply, valuation-sensitive TVL, Fear & Greed, funding, OI/market-cap, exchange flow",effective sample reported per row,daily; Sunday weekly,same-support HAC OLS state model,frequency_robustness.csv; block_delta_r2.csv,06_stablecoin_defi_liquidity.png,"BTC daily lagged-state full R2=0.0064, n=2263; ETH daily lagged-state full R2=0.0055, n=2263",HAC/FDR diagnostics; weekly models require nonzero accepted samples.,Sunday-ended crypto weekly panel and daily lagged-state panel.,medium,medium,medium,FDR applied within model family.,B,lagged-state association,exogenous shock; forecast,USD TVL and USD/notional OI can embed price content.,accepted_qualified
etf_plumbing_01,etf_plumbing,ETF flow intensity is separated into lag 0 and lag 1 associations on ETF trading dates.,BTC/ETH returns and volatility,"ETF flow intensity, cumulative flow / lagged market cap",ETF era only,ETF trading daily; Friday weekly model rows,"correlation grid, absorption ratios, ETF-era augmented same-support OLS",etf_flow_associations.csv; etf_absorption_metrics.csv; block_delta_r2.csv,04_etf_market_plumbing.png,BTC lag0 return corr=0.379 (n=820) vs lag1=0.049 (n=819); ETH lag0 return corr=0.226 (n=627) vs lag1=0.086 (n=626),Short samples and reporting timing caveats.,Lag 0 and lag 1 flow intensity are separate columns; no zero-imputation for holidays.,low,high,low,pre_specified_lag0_lag1_grid,B,market-plumbing association,ETF flows caused returns,ETF flow timing may be reported after market close.,accepted_qualified
leverage_tail_01,leverage_tail_stress,Leverage and liquidation variables are treated as stress-state diagnostics with interpretable denominators.,BTC lower-tail days,"funding, OI/market-cap, leverage ratio, liquidations / lagged OI and market cap",2020-03-12 to 2026-02-05 daily,daily,"state quintiles, lagged logit, top liquidation event windows",leverage_tail_risk_summary.csv; tail_risk_models.csv; liquidation_event_responses.csv,05_leverage_liquidation_stress.png,Q1 low tail-day rate=7.06% (n=453); Q3 tail-day rate=4.20% (n=452); Q5 high tail-day rate=7.73% (n=453); read as U-shaped state pattern,Class-balance diagnostics; event responses separated from same-day signatures.,Liquidation ratios in percent of lagged OI or basis points of lagged market cap.,low,medium,medium_if_usd_notional,limited_pre_specified_state_model,B,U-shaped tail-stress pattern,liquidations caused the move,Exchange coverage and liquidation reporting conventions.,accepted_qualified
liquidity_state_01,stablecoin_defi_state,Stablecoin supply is a cleaner liquidity-state proxy; raw USD TVL is valuation-sensitive.,BTC/ETH returns and BTC volatility,"stablecoin supply growth, valuation-sensitive DeFi TVL growth",2020-01-05 to 2026-04-12 weekly,Sunday weekly,weekly regime summaries and contamination audit correlations,stablecoin_defi_liquidity_summary.csv; liquidity_associations.csv; valuation_contamination_audit.csv,06_stablecoin_defi_liquidity.png,BTC same-week raw USD TVL corr=0.679 (n=327); ETH same-week raw USD TVL corr=0.761 (n=327); TVL labeled valuation-sensitive,Descriptive correlations only.,Sunday-ended weekly transformations and explicit TVL price-content audit.,high_usd_price_content,medium,high,not_promoted_as_shock,B,valuation-sensitive DeFi balance-sheet proxy,pure capital inflow; liquidity shock,No price-adjusted TVL source is available in the local data.,accepted_qualified
pit_structure_01,pit_structure,"Monthly PIT snapshots support composition, concentration, and turnover evidence.",market composition and concentration,PIT top-100 slices from top-200 snapshots,2020-01-31 to 2026-06-16 monthly,monthly,"market-cap shares, HHI, top-share concentration, entries/exits",pit_market_structure_summary.csv; pit_composition.csv; pit_turnover.csv,07_point_in_time_market_structure.png,"2026-06-16 partial snapshot (month=2026-06) top10 share=87.64%, HHI=0.334",Descriptive monthly snapshots.,Shares sum within month; taxonomy and canonical IDs audited.,none,low,none,not_applicable_descriptive,A,market-structure context,daily PIT performance,No daily PIT constituent OHLCV for historical performance.,accepted_headline
selected_major_risk_01,selected_major_risk,Selected-major risk comparisons are coverage-aware and use canonical local IDs.,"volatility, drawdown, beta",selected major current-source daily returns,2023-01-01 to 2024-11-30 daily,daily,coverage-window and comparable-window risk summaries,selected_major_risk_metrics.csv; selected_major_comparable_window_metrics.csv,08_selected_major_asset_risk.png,10 assets comparable from 2024-11-30 to 2026-06-16; HYPE max-coverage n=564,Coverage windows differ; HYPE is short-history.,Comparable-window metrics reported separately.,none,medium,low,not_promoted_as_full_cycle,B,coverage-aware risk comparison,event response for selected majors,Current-source cohort coverage begins mostly in 2023.,accepted_qualified
event_atlas_01,event_atlas,"Configured BTC/ETH event windows are empirical placebo-window tests, not bootstrap causal inference.",BTC/ETH post-event returns,registered event dates,2022-05-09 to 2025-10-10 daily,daily,post +1 through +10 return and non-overlapping placebo windows,event_response_matrix.csv; event_inference.csv,09_event_response_matrix.png,"BTC,ETH event windows use block size=10; median eligible placebo windows=2007; convention +1 through +10",Small event count; placebo windows exclude registered-event overlaps.,Actual and placebo windows use the same block size and convention.,none,high,none,empirical_placebo_not_bootstrap,C,descriptive event-window response,causal event effect; forecast rule,Sparse events and overlapping regimes.,exploratory_only
deferred_altseason_01,deferred_pit_altseason,True point-in-time historical altseason return analysis remains deferred.,altseason performance,historical PIT constituent daily OHLCV and market cap,not available,daily,honest skip path,claim_inventory.csv; selected_major_coverage.csv,,Deferred: monthly PIT snapshots do not include daily constituent return histories.,No statistical inference attempted.,Public checker and evidence ledger prevent current-cohort overclaiming.,none,high,none,not_promoted,C,deferred until data exists,historical altseason backtest,Requires daily point-in-time constituent OHLCV/mcap.,data_limited_deferred
