regressor,beta,hac_se,t,p,label,n,r2,adj_r2,hac_lags
const,-0.0017007007501856938,0.0006152854251673795,-2.7640842454915013,0.005708279930956927,hac5,821,0.23654648875304907,0.2328040695802699,5
btc_etf_intensity,46.13243522830271,5.3195017357864876,8.672322619607536,4.233940259663909e-18,hac5,821,0.23654648875304907,0.2328040695802699,5
spy_ret,0.5734015758612854,0.2022158594638474,2.8355915178047613,0.004574090779879636,hac5,821,0.23654648875304907,0.2328040695802699,5
VIXCLS_d1,-0.0030766523142382735,0.00102733739756156,-2.9947827476551243,0.0027464037906153303,hac5,821,0.23654648875304907,0.2328040695802699,5
DGS10_d1,0.022173505901501727,0.022538757173247763,0.9837945247407178,0.3252165519813509,hac5,821,0.23654648875304907,0.2328040695802699,5
const,-0.0017007007501856938,0.0005574387682873766,-3.0509193958840894,0.0022814181167359407,hac10,821,0.23654648875304907,0.2328040695802699,10
btc_etf_intensity,46.13243522830271,5.121655704511292,9.007328467563337,2.111369467793941e-19,hac10,821,0.23654648875304907,0.2328040695802699,10
spy_ret,0.5734015758612854,0.1902310873326175,3.014236967792217,0.002576264955524392,hac10,821,0.23654648875304907,0.2328040695802699,10
VIXCLS_d1,-0.0030766523142382735,0.0010107514059593508,-3.043925831909262,0.0023351270216098842,hac10,821,0.23654648875304907,0.2328040695802699,10
DGS10_d1,0.022173505901501727,0.02101534390825341,1.0551103040856482,0.2913748799829504,hac10,821,0.23654648875304907,0.2328040695802699,10
const,-0.0017007007501856938,0.0005308138938770362,-3.2039491991512636,0.0013555639309672126,hac20,821,0.23654648875304907,0.2328040695802699,20
btc_etf_intensity,46.13243522830271,4.925150452286838,9.366705783958858,7.483162134551323e-21,hac20,821,0.23654648875304907,0.2328040695802699,20
spy_ret,0.5734015758612854,0.18042475351495882,3.1780648979173765,0.0014826156082715304,hac20,821,0.23654648875304907,0.2328040695802699,20
VIXCLS_d1,-0.0030766523142382735,0.0009549497415311201,-3.2217950122750105,0.0012739024054793538,hac20,821,0.23654648875304907,0.2328040695802699,20
DGS10_d1,0.022173505901501727,0.020417969205102277,1.0859799855100554,0.27748784720782615,hac20,821,0.23654648875304907,0.2328040695802699,20
const,-0.0017007007501856938,0.000506975156356518,-3.3546037293190696,0.0007947874880052758,hac40,821,0.23654648875304907,0.2328040695802699,40
btc_etf_intensity,46.13243522830271,5.121175070896094,9.008173825276108,2.0951608667480738e-19,hac40,821,0.23654648875304907,0.2328040695802699,40
spy_ret,0.5734015758612854,0.17147384805501462,3.343959340536399,0.0008259184112335448,hac40,821,0.23654648875304907,0.2328040695802699,40
VIXCLS_d1,-0.0030766523142382735,0.0008016667015269858,-3.8378197677139103,0.00012413153455260152,hac40,821,0.23654648875304907,0.2328040695802699,40
DGS10_d1,0.022173505901501727,0.019141778103596897,1.158382767864974,0.24670786820078927,hac40,821,0.23654648875304907,0.2328040695802699,40
