regressor,beta,hac_se,t,p,label,n,r2,adj_r2,sample,first_common_date
const,0.0006874066304389907,0.0002881560413058793,2.385536070400497,0.01705424985757568,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
DGS10_d1,0.001968378005302292,0.009665477444345474,0.20365036457188548,0.838626732554116,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
DGS2_d1,0.0004700352423085258,0.009960972026623764,0.047187688214785854,0.9623636399734578,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
VIXCLS_d1,0.0003802951785332133,0.000397746776805834,0.9561238474067133,0.33900966788332576,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
DTWEXBGS_d1,0.000599201411937625,0.001286295251395268,0.46583504936962206,0.641333574996746,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
DFF_d1,-0.09532865549368866,0.1275750408808607,-0.7472359392203827,0.45492115367936403,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
spy_ret,0.16678463023622103,0.0845853812246371,1.971790252895873,0.0486335555048144,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
qqq_ret,0.0929954120558213,0.05491003096935176,1.6935960591194539,0.0903420674311682,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
gld_ret,0.11102682352655915,0.04207659273193631,2.6386837982318214,0.008322857031732987,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
defi_tvl_usd_ret,0.013379018001994673,0.013976258317212008,0.9572675102547422,0.338432249706601,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
stables_total_usd_ret,0.16827391219991972,0.06677253552661697,2.5201066706960997,0.011731927486109532,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
fng_value_d1,7.004889379589593e-05,6.936755547798367e-05,1.0098221468699227,0.31258050752079825,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
cme_btc_basis_close_d1,-1.914303334929867e-06,1.5393664887823667e-06,-1.2435656803495014,0.21365945380532836,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
btc_exchange_netflow_d1,3.151489704682933e-08,3.397137970899439e-08,0.9276896410093504,0.3535685834557629,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
btc_miner_to_exchange_flow_d1,1.363081938596934e-07,1.8830120090916093e-07,0.7238838265585483,0.4691370600768876,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
btc_mvrv_d1,0.48276343429381274,0.013622543275378174,35.438568594336935,4.3511570998577586e-275,pre_etf,1210,0.9043613867259324,0.903159896609424,pre_etf,2020-01-03
const,0.0008850162621363288,0.00016448117901041024,5.380653686099337,7.42158477516024e-08,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
DGS10_d1,0.004020116665188526,0.006659060651101665,0.6037062696708496,0.5460389450232717,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
DGS2_d1,-0.0021926251180174605,0.006788001625754718,-0.3230148192213604,0.7466840190461135,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
VIXCLS_d1,-0.0006528681816126448,0.00034787433738592494,-1.8767356813916563,0.06055432965763591,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
DTWEXBGS_d1,0.001191598552250272,0.0005469257414216192,2.1787209158467484,0.029352407000039316,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
DFF_d1,-0.12271992155279203,0.07939332383693756,-1.5457209198703037,0.12217198267084792,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
spy_ret,-0.1099208647671656,0.10436794445990469,-1.0532052282527629,0.2922469428009009,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
qqq_ret,0.08192510351235677,0.06366044674462061,1.2869074551268296,0.19812654650270423,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
gld_ret,0.04611082133667898,0.022615765881529103,2.038879495756494,0.04146205577726186,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
defi_tvl_usd_ret,-0.004133666902015565,0.00983740064647994,-0.42019910040918085,0.6743400118834697,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
stables_total_usd_ret,0.20584738261978985,0.057354071653616764,3.5890631072015453,0.0003318685045064916,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
fng_value_d1,3.077923124131142e-05,2.6195285621300465e-05,1.174991244084148,0.23999821883696648,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
cme_btc_basis_close_d1,-2.416923636466901e-07,5.196278099408734e-07,-0.4651259209436681,0.6418412843968146,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
btc_exchange_netflow_d1,-7.216009930775704e-08,2.3634831962325654e-08,-3.053125125779677,0.0022647148528243638,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
btc_miner_to_exchange_flow_d1,6.60592149304231e-08,5.092756473609189e-08,1.2971210241986604,0.19458954867482758,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
btc_mvrv_d1,0.4712902692944604,0.007195755900647668,65.49558876115309,0.0,post_etf,730,0.9707416841576423,0.9701270136567525,post_etf,2020-01-03
