symbol,common_start,common_end,n,annualized_volatility,max_drawdown,positive_week_share,coverage_note
ADA,2024-11-30,2026-06-16,563,0.959928230710982,-0.872662340236108,0.402439024390244,Comparable-window metrics use the common date range across available selected canonical assets.
BNB,2024-11-30,2026-06-16,563,0.527568122548654,-0.564023419012594,0.5,Comparable-window metrics use the common date range across available selected canonical assets.
BTC,2024-11-30,2026-06-16,563,0.447529355825824,-0.512208588882204,0.439024390243902,Comparable-window metrics use the common date range across available selected canonical assets.
DOGE,2024-11-30,2026-06-16,563,0.868416812343175,-0.825551941153568,0.390243902439024,Comparable-window metrics use the common date range across available selected canonical assets.
ETH,2024-11-30,2026-06-16,563,0.721409472943525,-0.675151609781,0.463414634146341,Comparable-window metrics use the common date range across available selected canonical assets.
HYPE,2024-11-30,2026-06-16,563,1.13530567031519,-0.683122493057698,0.524390243902439,Comparable-window metrics use the common date range across available selected canonical assets.
SOL,2024-11-30,2026-06-16,563,0.801923351000798,-0.763262197954913,0.426829268292683,Comparable-window metrics use the common date range across available selected canonical assets.
TON,2024-11-30,2026-06-16,563,0.797371592181544,-0.825549336429013,0.426829268292683,Comparable-window metrics use the common date range across available selected canonical assets.
TRX,2024-11-30,2026-06-16,563,0.678139637954099,-0.489557015327606,0.573170731707317,Comparable-window metrics use the common date range across available selected canonical assets.
XRP,2024-11-30,2026-06-16,563,0.81451491019958,-0.692575552272154,0.402439024390244,Comparable-window metrics use the common date range across available selected canonical assets.
