symbol,canonical_name,source_symbols,n,first_date,last_date,annualized_volatility,downside_volatility,max_drawdown,positive_week_share,short_history_flag,status
ADA,Cardano,ADA,1262,2023-01-01,2026-06-16,0.8422745934051956,0.5453337812231992,-0.8726623402361084,0.445054945054945,False,computed
BNB,BNB,BNB,1262,2023-01-01,2026-06-16,0.5123693651363155,0.3652644481888741,-0.5640234190125937,0.5054945054945055,False,computed
BTC,Bitcoin,BTC,1262,2023-01-01,2026-06-16,0.4681006482286025,0.3153463673827935,-0.5122085888822041,0.4945054945054945,False,computed
DOGE,Dogecoin,DOGE,1262,2023-01-01,2026-06-16,0.846288648928885,0.5694558073858317,-0.8255519411535683,0.4835164835164835,False,computed
ETH,Ethereum,ETH,1262,2023-01-01,2026-06-16,0.6353871900149238,0.4456792930369879,-0.6751516097810001,0.5,False,computed
HYPE,Hyperliquid,HYPE,563,2024-11-30,2026-06-16,1.1353056703151936,0.6429708072129846,-0.6831224930576982,0.524390243902439,True,computed
SOL,Solana,SOL,1262,2023-01-01,2026-06-16,0.8561147559770311,0.5197001936917776,-0.7632621979549133,0.489010989010989,False,computed
TON,Toncoin,GRAM,1262,2023-01-01,2026-06-16,0.7615608376232013,0.5326242644129338,-0.8528806521414812,0.456043956043956,False,computed
TRX,TRON,TRX,1262,2023-01-01,2026-06-16,0.544006353949272,0.3668361354811109,-0.4895570153276065,0.5824175824175825,False,computed
XRP,XRP,XRP,1262,2023-01-01,2026-06-16,0.7949899144304815,0.500599432742797,-0.692575552272154,0.456043956043956,False,computed
